row,col,x,y,width,height,file
0,0,0,0,32,32,tile_r00_c00.png
0,1,32,0,32,32,tile_r00_c01.png
0,2,64,0,32,32,tile_r00_c02.png
0,3,96,0,32,32,tile_r00_c03.png
0,4,128,0,32,32,tile_r00_c04.png
0,5,160,0,32,32,tile_r00_c05.png
0,6,192,0,32,32,tile_r00_c06.png
0,7,224,0,32,32,tile_r00_c07.png
1,0,0,32,32,32,tile_r01_c00.png
1,1,32,32,32,32,tile_r01_c01.png
1,2,64,32,32,32,tile_r01_c02.png
1,3,96,32,32,32,tile_r01_c03.png
1,4,128,32,32,32,tile_r01_c04.png
1,5,160,32,32,32,tile_r01_c05.png
1,6,192,32,32,32,tile_r01_c06.png
1,7,224,32,32,32,tile_r01_c07.png
2,0,0,64,32,32,tile_r02_c00.png
2,1,32,64,32,32,tile_r02_c01.png
2,2,64,64,32,32,tile_r02_c02.png
2,3,96,64,32,32,tile_r02_c03.png
2,4,128,64,32,32,tile_r02_c04.png
2,5,160,64,32,32,tile_r02_c05.png
2,6,192,64,32,32,tile_r02_c06.png
2,7,224,64,32,32,tile_r02_c07.png
3,0,0,96,32,32,tile_r03_c00.png
3,1,32,96,32,32,tile_r03_c01.png
3,2,64,96,32,32,tile_r03_c02.png
3,3,96,96,32,32,tile_r03_c03.png
3,4,128,96,32,32,tile_r03_c04.png
3,5,160,96,32,32,tile_r03_c05.png
3,6,192,96,32,32,tile_r03_c06.png
3,7,224,96,32,32,tile_r03_c07.png
4,0,0,128,32,32,tile_r04_c00.png
4,1,32,128,32,32,tile_r04_c01.png
4,2,64,128,32,32,tile_r04_c02.png
4,3,96,128,32,32,tile_r04_c03.png
4,4,128,128,32,32,tile_r04_c04.png
4,5,160,128,32,32,tile_r04_c05.png
4,6,192,128,32,32,tile_r04_c06.png
4,7,224,128,32,32,tile_r04_c07.png
5,0,0,160,32,32,tile_r05_c00.png
5,1,32,160,32,32,tile_r05_c01.png
5,2,64,160,32,32,tile_r05_c02.png
5,3,96,160,32,32,tile_r05_c03.png
5,4,128,160,32,32,tile_r05_c04.png
5,5,160,160,32,32,tile_r05_c05.png
5,6,192,160,32,32,tile_r05_c06.png
5,7,224,160,32,32,tile_r05_c07.png
6,0,0,192,32,32,tile_r06_c00.png
6,1,32,192,32,32,tile_r06_c01.png
6,2,64,192,32,32,tile_r06_c02.png
6,3,96,192,32,32,tile_r06_c03.png
6,4,128,192,32,32,tile_r06_c04.png
6,5,160,192,32,32,tile_r06_c05.png
6,6,192,192,32,32,tile_r06_c06.png
6,7,224,192,32,32,tile_r06_c07.png
7,0,0,224,32,32,tile_r07_c00.png
7,1,32,224,32,32,tile_r07_c01.png
7,2,64,224,32,32,tile_r07_c02.png
7,3,96,224,32,32,tile_r07_c03.png
7,4,128,224,32,32,tile_r07_c04.png
7,5,160,224,32,32,tile_r07_c05.png
7,6,192,224,32,32,tile_r07_c06.png
7,7,224,224,32,32,tile_r07_c07.png
8,0,0,256,32,32,tile_r08_c00.png
8,1,32,256,32,32,tile_r08_c01.png
8,2,64,256,32,32,tile_r08_c02.png
8,3,96,256,32,32,tile_r08_c03.png
8,4,128,256,32,32,tile_r08_c04.png
8,5,160,256,32,32,tile_r08_c05.png
8,6,192,256,32,32,tile_r08_c06.png
8,7,224,256,32,32,tile_r08_c07.png
9,0,0,288,32,32,tile_r09_c00.png
9,1,32,288,32,32,tile_r09_c01.png
9,2,64,288,32,32,tile_r09_c02.png
9,3,96,288,32,32,tile_r09_c03.png
9,4,128,288,32,32,tile_r09_c04.png
9,5,160,288,32,32,tile_r09_c05.png
9,6,192,288,32,32,tile_r09_c06.png
9,7,224,288,32,32,tile_r09_c07.png
10,0,0,320,32,32,tile_r10_c00.png
10,1,32,320,32,32,tile_r10_c01.png
10,2,64,320,32,32,tile_r10_c02.png
10,3,96,320,32,32,tile_r10_c03.png
10,4,128,320,32,32,tile_r10_c04.png
10,5,160,320,32,32,tile_r10_c05.png
10,6,192,320,32,32,tile_r10_c06.png
10,7,224,320,32,32,tile_r10_c07.png
11,0,0,352,32,32,tile_r11_c00.png
11,1,32,352,32,32,tile_r11_c01.png
11,2,64,352,32,32,tile_r11_c02.png
11,3,96,352,32,32,tile_r11_c03.png
11,4,128,352,32,32,tile_r11_c04.png
11,5,160,352,32,32,tile_r11_c05.png
11,6,192,352,32,32,tile_r11_c06.png
11,7,224,352,32,32,tile_r11_c07.png
12,0,0,384,32,32,tile_r12_c00.png
12,1,32,384,32,32,tile_r12_c01.png
12,2,64,384,32,32,tile_r12_c02.png
12,3,96,384,32,32,tile_r12_c03.png
12,4,128,384,32,32,tile_r12_c04.png
12,5,160,384,32,32,tile_r12_c05.png
12,6,192,384,32,32,tile_r12_c06.png
12,7,224,384,32,32,tile_r12_c07.png
13,0,0,416,32,32,tile_r13_c00.png
13,1,32,416,32,32,tile_r13_c01.png
13,2,64,416,32,32,tile_r13_c02.png
13,3,96,416,32,32,tile_r13_c03.png
13,4,128,416,32,32,tile_r13_c04.png
13,5,160,416,32,32,tile_r13_c05.png
13,6,192,416,32,32,tile_r13_c06.png
13,7,224,416,32,32,tile_r13_c07.png
14,0,0,448,32,32,tile_r14_c00.png
14,1,32,448,32,32,tile_r14_c01.png
14,2,64,448,32,32,tile_r14_c02.png
14,3,96,448,32,32,tile_r14_c03.png
14,4,128,448,32,32,tile_r14_c04.png
14,5,160,448,32,32,tile_r14_c05.png
14,6,192,448,32,32,tile_r14_c06.png
14,7,224,448,32,32,tile_r14_c07.png
